Date,V,MA,spread,anchor,anchor_var,residual,signal_vol,zscore,position,gross_return,transaction_cost,net_return,equity,turnover
2016-07-01,70.0725,85.4928,7.926727738727891,7.496305861943292,0.881229244637041,0.43042187678459864,0.8449173639265319,0.5094248208893777,0.0,-0.0,0.0,-0.0,1.2378898484010157,0.0
2016-07-05,70.2512,84.9056,8.461908283435783,7.526361907033631,0.881229244637041,0.9355463764021517,0.8174083135597593,1.144527601301128,0.0,0.0,0.0,0.0,1.2378898484010157,0.0
2016-07-06,69.6747,83.7323,8.597701578915654,7.55970920688338,0.881229244637041,1.0379923720322735,0.7950006943121466,1.3056496421432298,0.0,0.0,0.0,0.0,1.2378898484010157,0.0
2016-07-07,70.1006,84.6744,8.451666427060552,7.5874729177353695,0.881229244637041,0.8641935093251822,0.7624823957306158,1.1333947041454067,0.0,-0.0,0.0,-0.0,1.2378898484010157,0.0
2016-07-08,71.8947,85.3981,9.806418725757588,7.656541443015007,0.881229244637041,2.1498772827425814,0.8673022069026451,2.4788098838354573,-1.0,0.0,0.001,-0.001,1.2366519585526146,1.0
2016-07-11,71.9886,85.5785,9.790800520264902,7.722973947358914,0.881229244637041,2.0678265729059886,0.9192855825907116,2.249384317633355,-1.0,0.0001262193084610196,0.0,0.0001262193084610196,1.23680804790763,0.0
2016-07-12,72.8934,86.7868,9.962059235914502,7.792669348795377,0.881229244637041,2.1693898871191255,0.9605496646153375,2.2584879960245274,-1.0,-0.0013817643420105377,0.0,-0.0013817643420105377,1.2350990706491196,0.0
2016-07-13,72.8738,87.1138,9.743942311324105,7.85340609389868,0.881229244637041,1.8905362174254252,0.9543597348886503,1.9809471715044673,-1.0,0.0017368707740230728,0.0,0.0017368707740230728,1.2372442781279531,0.0
2016-07-14,73.5139,88.1823,9.735371565376582,7.911985523496392,0.881229244637041,1.8233860418801902,0.9362730101905888,1.947493970277985,-1.0,6.815197660116042e-05,0.0,6.815197660116042e-05,1.237328598771046,0.0
2016-07-15,73.6635,87.6809,10.189364183081857,7.9828728723231235,0.881229244637041,2.206491310758733,0.9472635249836474,2.3293320734552974,-1.0,-0.003573392012908303,0.0,-0.003573392012908303,1.2329071386388546,0.0
2016-07-18,73.6732,88.3279,9.806279931675157,8.03962957008411,0.881229244637041,1.7666503615910472,0.9150485545169992,1.93066297178466,-1.0,0.0030189479645360015,0.0,0.0030189479645360015,1.23662922113551,0.0
2016-07-19,74.0593,89.0805,9.735487462419087,8.09241607946345,0.881229244637041,1.6430713829556378,0.876956335823812,1.8736068329013644,-1.0,0.0005561258218495956,0.0,0.0005561258218495956,1.2373169425774373,0.0
2016-07-20,74.662,89.9687,9.798974213424628,8.14553565236628,0.881229244637041,1.6534385610583477,0.840133440214626,1.9680665974157028,-1.0,-0.0004954530989011498,0.0,-0.0004954530989011498,1.2367039100639143,0.0
2016-07-21,74.1236,89.1573,9.753163303983172,8.195575842935384,0.881229244637041,1.5575874610477882,0.8015028241652397,1.9433337152242802,-1.0,0.00035435231359813276,0.0,0.00035435231359813276,1.2371421389556811,0.0
2016-07-22,75.1798,90.3156,10.10617628944783,8.255046585646694,0.881229244637041,1.8511297038011367,0.7759002093644695,2.385783225032733,-1.0,-0.0027525444485867927,0.0,-0.0027525444485867927,1.233736850228986,0.0
2016-07-25,74.2672,89.6786,9.580289686891518,8.296297068785611,0.881229244637041,1.2839926181059074,0.7391294377500274,1.7371688266327068,-1.0,0.004044998973932266,0.0,0.004044998973932266,1.2387273145222646,0.0
2016-07-26,73.845,90.0943,8.905724287649221,8.315266544795346,0.881229244637041,0.5904577428538751,0.7446371540788327,0.7929469267274366,-1.0,0.005240980599369545,0.0,0.005240980599369545,1.245219460345585,0.0
