process_var_multiplier,entry_z,exit_z,vol_span,annual_return,annual_volatility,sharpe,max_drawdown,total_return,trade_count,active_day_ratio
1e-05,2.0,0.25,60,0.0025158129494582404,0.05396978091022548,0.07348079324436545,-0.12434297265373206,0.021607632885063177,14.0,0.6730410447761194
1e-05,2.0,0.5,10,0.007988557875020286,0.05871031095346666,0.16483196035029193,-0.12434297265373184,0.07004007885781371,29.0,0.8027052238805971
1e-05,2.0,0.5,20,0.005430774338107236,0.05733502912014501,0.12308061774850515,-0.1243429726537304,0.047157836849603285,22.0,0.7607276119402985
1e-05,2.0,0.5,40,0.005460894004288397,0.054489057822594514,0.12713005201826338,-0.11601534523919255,0.04742475813516589,19.0,0.7000932835820896
1e-05,2.0,0.5,60,0.0012015852374580582,0.053409903687049634,0.049127829896469244,-0.11601534523919366,0.010269244373728226,15.0,0.6632462686567164
1e-05,2.0,0.75,10,0.006480038416892597,0.058258674922088555,0.13994859211261068,-0.11601534523919477,0.056491904436695384,31.0,0.7994402985074627
1e-05,2.0,0.75,20,0.004988953420263176,0.056820494990901645,0.11594217471636001,-0.11601534523919144,0.04324930048463349,24.0,0.7546641791044776
1e-05,2.0,0.75,40,0.005844403238372653,0.054273985785382846,0.13444545436448188,-0.11601534523919255,0.050828680418165684,20.0,0.6898320895522388
1e-05,2.0,0.75,60,0.004928932987392498,0.05234880136724056,0.12003390714792676,-0.09882888478298613,0.04271932862265149,19.0,0.6380597014925373
5e-05,1.0,0.0,10,0.02084430726325448,0.06298375309032893,0.35898904529257125,-0.11543115941124094,0.1918646886289901,55.5,0.9197761194029851
5e-05,1.0,0.0,20,0.018213913087662403,0.06219777508923195,0.32124941566108156,-0.11263588759474807,0.1659876334159256,48.5,0.898320895522388
5e-05,1.0,0.0,40,0.022433542158976305,0.06192367556920059,0.38918689337032025,-0.11263588759474852,0.2077435368032432,45.5,0.8805970149253731
5e-05,1.0,0.0,60,0.024017501990031054,0.06186864353558868,0.41450216588224337,-0.11263588759474863,0.2237551426775235,42.5,0.8577425373134329
5e-05,1.0,0.25,10,0.0215527994937319,0.06234653353118834,0.37314628775765735,-0.11543115941124238,0.1989206873402556,64.5,0.9090485074626866
5e-05,1.0,0.25,20,0.017303922380706993,0.06125928374947353,0.3106305725999752,-0.11263588759474841,0.15715155723880248,59.5,0.8847947761194029
5e-05,1.0,0.25,40,0.021497560937932425,0.06087328976370777,0.3797981138816419,-0.11263588759474863,0.19836923493420144,55.5,0.8610074626865671
5e-05,1.0,0.25,60,0.022891008069034546,0.06076712180790335,0.4027899638323135,-0.11263588759474885,0.21234877566135735,50.5,0.8418843283582089
5e-05,1.0,0.5,10,0.01848814220602124,0.06140350004132211,0.32899281456538326,-0.11543115941124049,0.16866206717278454,71.5,0.8969216417910447
5e-05,1.0,0.5,20,0.018713893095291034,0.06077022335923064,0.3354316625846676,-0.1126358875947493,0.17086777544033294,68.5,0.875
5e-05,1.0,0.5,40,0.0219737176047905,0.059686374062876246,0.3939575273468873,-0.11362732085578442,0.20313011766894418,68.5,0.8404850746268657
5e-05,1.0,0.5,60,0.02564297255039527,0.05906342611110887,0.45817145357915134,-0.11263588759474863,0.24038082935402394,64.5,0.8101679104477612
5e-05,1.0,0.75,10,0.016795314469851386,0.06050390663533854,0.30548070404754524,-0.11543115941124094,0.15223872536269334,86.5,0.8875932835820896
5e-05,1.0,0.75,20,0.016117025563564757,0.0588325627711233,0.30111999971258696,-0.11263588759474819,0.14571552782128872,91.5,0.8507462686567164
5e-05,1.0,0.75,40,0.01844469494732137,0.05753601121521078,0.34636468405921794,-0.11263588759474796,0.16823798497274223,92.5,0.8097014925373134
5e-05,1.0,0.75,60,0.016066263933424807,0.056803591083713696,0.3089310992153665,-0.11263588759474796,0.145228659601206,82.5,0.7555970149253731
5e-05,1.25,0.0,10,0.01348020921106352,0.0618160678475765,0.24746582834321848,-0.11263588759474907,0.12066541257407515,45.5,0.8857276119402985
5e-05,1.25,0.0,20,0.018361351115928848,0.06129867768017608,0.327417231107842,-0.11263588759474774,0.16742485838705923,41.5,0.8638059701492538
5e-05,1.25,0.0,40,0.019667075349302676,0.06066316295348198,0.35133231426005157,-0.11263588759474785,0.18022143764450327,37.5,0.8292910447761194
